状态,代码,名称,趋势,5日涨跌幅_%,10日涨跌幅_%,20日涨跌幅_%,RSI14,K,D,J,KDJ状态,DIF,DEA,MACD柱,MACD状态,情绪分数,情绪标签,情绪缺失项,净流入截至,5日份额净流入_元,5日净流入错误,10日份额净流入_元,10日净流入错误,20日份额净流入_元,20日净流入错误,政策面理由,基本面理由,技术面理由,情绪面理由
观察,159852,软件ETF嘉实,震荡,0.7331,1.0294,-2.6912,48.5294,41.52,38.40,47.76,多头,-0.011239,-0.014520,0.006563,收敛,67.98,偏热,,2026-07-21,182147000.00,,214527000.00,,,missing_share_date,六部门部署智能工厂梯度培育，政策支持人工智能与制造业融合和场景落地；执行节奏与商业化质量仍需验证。 [工业和信息化部等六部门｜2026-07-15｜关于开展2026年度智能工厂梯度培育行动的通知](https://www.ncsti.gov.cn/kjdt/tzgg/202607/t20260720_251553.html),上半年制造业增加值同比增长5.6%，为数字化和AI应用提供需求基础；ETF成份股估值与订单兑现差异较大。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+0.73%/+1.03%/-2.69%，RSI14=48.5，KDJ=多头，MACD=收敛。,情绪分数68.0（偏热）；5/10/20日份额净流入为+1.82亿/+2.15亿/N/A(missing_share_date)，5日成交量相对前20日为1.14倍，代表池综合宽度40.3%，缺失分项：无。
观察,511180,可转债ETF海富通,震荡,0.4898,0.3471,0.0944,51.0013,63.93,50.82,90.16,多头,-0.025749,-0.039351,0.027204,收敛,67.85,偏热,,2026-07-21,259785300.00,,769892900.00,,,missing_share_date,资本市场监管强调防风险和稳定运行；债券ETF仍受利率、信用利差和久期影响，不能当作无波动现金。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),上半年经济同比增长4.7%，增长与价格环境共同影响利率方向；长久期国债和信用债需分别控制久期与信用风险。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+0.49%/+0.35%/+0.09%，RSI14=51.0，KDJ=多头，MACD=收敛。,情绪分数67.9（偏热）；5/10/20日份额净流入为+2.60亿/+7.70亿/N/A(missing_share_date)，5日成交量相对前20日为1.11倍，代表池综合宽度40.3%，缺失分项：无。
观察,159825,农业ETF富国,震荡,1.2766,5.0000,8.1818,57.6389,84.12,76.54,99.27,多头,0.000497,-0.005055,0.011103,收敛,62.02,偏热,,2026-07-21,20545000.00,,1000000.00,,,missing_share_date,近90日未发现新增直接政策催化；2月中央一号文件强调农业综合生产能力、农民增收和县域产业，构成中长期政策背景。 [国家林业和草原局（新华社稿）｜2026-02-03｜2026年中央一号文件发布 部署扎实推进乡村全面振兴](https://www.forestry.gov.cn/c/www/szxx/659115.jhtml),上半年社会消费品零售总额同比增长1.3%，粮油食品和饮料类分别增长7.4%和6.0%；消费恢复但总体增速温和。 [国家统计局｜2026-07-15｜上半年消费市场基本平稳 新型消费成长壮大](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964127.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为+1.28%/+5.00%/+8.18%，RSI14=57.6，KDJ=多头，MACD=收敛。,情绪分数62.0（偏热）；5/10/20日份额净流入为+0.21亿/+0.01亿/N/A(missing_share_date)，5日成交量相对前20日为1.12倍，代表池综合宽度40.3%，缺失分项：无。
观察,159865,养殖ETF国泰,震荡,-1.1236,2.5243,9.3168,53.8462,62.36,67.87,51.34,空头,0.002000,-0.000823,0.005646,收敛,61.76,偏热,,2026-07-21,100916000.00,,283745000.00,,,missing_share_date,近90日未发现新增直接政策催化；2月中央一号文件强调农业综合生产能力、农民增收和县域产业，构成中长期政策背景。 [国家林业和草原局（新华社稿）｜2026-02-03｜2026年中央一号文件发布 部署扎实推进乡村全面振兴](https://www.forestry.gov.cn/c/www/szxx/659115.jhtml),上半年社会消费品零售总额同比增长1.3%，粮油食品和饮料类分别增长7.4%和6.0%；消费恢复但总体增速温和。 [国家统计局｜2026-07-15｜上半年消费市场基本平稳 新型消费成长壮大](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964127.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为-1.12%/+2.52%/+9.32%，RSI14=53.8，KDJ=空头，MACD=收敛。,情绪分数61.8（偏热）；5/10/20日份额净流入为+1.01亿/+2.84亿/N/A(missing_share_date)，5日成交量相对前20日为1.06倍，代表池综合宽度40.3%，缺失分项：无。
观察,511090,30年国债ETF鹏扬,震荡,0.4894,0.2948,0.4445,60.3827,59.56,45.27,88.14,多头,0.040925,0.029429,0.022991,金叉,59.54,中性,,2026-07-21,348332500.00,,2820221860.00,,,missing_share_date,资本市场监管强调防风险和稳定运行；债券ETF仍受利率、信用利差和久期影响，不能当作无波动现金。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),上半年经济同比增长4.7%，增长与价格环境共同影响利率方向；长久期国债和信用债需分别控制久期与信用风险。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20未上行；5/10/20日涨跌幅分别为+0.49%/+0.29%/+0.44%，RSI14=60.4，KDJ=多头，MACD=金叉。,情绪分数59.5（中性）；5/10/20日份额净流入为+3.48亿/+28.20亿/N/A(missing_share_date)，5日成交量相对前20日为0.86倍，代表池综合宽度40.3%，缺失分项：无。
观察,512880,证券ETF国泰,震荡,-1.4159,0.2700,0.2700,41.5888,50.03,41.07,67.96,多头,0.007424,0.011408,-0.007968,收敛,59.22,中性,,2026-07-21,876805000.00,,2269089000.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20下方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-1.42%/+0.27%/+0.27%，RSI14=41.6，KDJ=多头，MACD=收敛。,情绪分数59.2（中性）；5/10/20日份额净流入为+8.77亿/+22.69亿/N/A(missing_share_date)，5日成交量相对前20日为0.87倍，代表池综合宽度40.3%，缺失分项：无。
观察,518880,黄金ETF华安,震荡,2.2822,-0.3376,0.5285,55.2664,52.20,38.37,79.86,多头,-0.124352,-0.158022,0.067340,收敛,52.85,中性,,2026-07-21,358750800.00,,357516200.00,,,missing_share_date,"商品和黄金ETF主要受全球定价、汇率和地缘风险影响，本报告不设置方向性政策利好结论。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","全球通胀回落受阻且冲突与市场重定价风险仍存，黄金与商品具备对冲叙事但价格可能高波动。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+2.28%/-0.34%/+0.53%，RSI14=55.3，KDJ=多头，MACD=收敛。,情绪分数52.9（中性）；5/10/20日份额净流入为+3.59亿/+3.58亿/N/A(missing_share_date)，5日成交量相对前20日为0.96倍，代表池综合宽度40.3%，缺失分项：无。
观察,510810,上海国企ETF汇添富,震荡,2.0408,2.7811,3.6585,63.3929,70.29,55.73,99.41,多头,0.000065,-0.003062,0.006253,收敛,50.06,中性,,2026-07-21,-60905000.00,,-59879300.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+2.04%/+2.78%/+3.66%，RSI14=63.4，KDJ=多头，MACD=收敛。,情绪分数50.1（中性）；5/10/20日份额净流入为-0.61亿/-0.60亿/N/A(missing_share_date)，5日成交量相对前20日为3.68倍，代表池综合宽度40.3%，缺失分项：无。
观察,159100,巴西ETF华夏,震荡,-2.4779,1.8484,2.6071,61.7978,48.38,56.32,32.51,空头,0.001377,-0.002165,0.007084,收敛,45.90,中性,,2026-07-21,0.00,,544000.00,,,missing_share_date,"跨境ETF同时受境外市场规则、汇率和QDII额度影响；本报告不把境内政策背景视为海外指数催化。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","IMF预计2026年全球增长3.0%，但地区分化、冲突和金融市场重定价风险仍在；海外ETF需额外核对溢价与汇率。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为-2.48%/+1.85%/+2.61%，RSI14=61.8，KDJ=空头，MACD=收敛。,情绪分数45.9（中性）；5/10/20日份额净流入为+0.00亿/+0.01亿/N/A(missing_share_date)，5日成交量相对前20日为0.78倍，代表池综合宽度40.3%，缺失分项：无。
观察,159691,港股红利ETF工银,震荡,1.2766,4.0210,5.3097,70.2703,83.75,79.64,91.99,多头,0.000895,-0.009932,0.021654,收敛,44.50,中性,,2026-07-21,-48455000.00,,17254000.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为+1.28%/+4.02%/+5.31%，RSI14=70.3，KDJ=多头，MACD=收敛。,情绪分数44.5（中性）；5/10/20日份额净流入为-0.48亿/+0.17亿/N/A(missing_share_date)，5日成交量相对前20日为1.22倍，代表池综合宽度40.3%，缺失分项：无。
观察,159502,标普生物科技ETF嘉实,震荡,-4.2831,-9.4539,4.0486,44.6372,18.83,23.00,10.50,空头,0.026699,0.049777,-0.046156,收敛,44.03,中性,,2026-07-21,4765000.00,,12991000.00,,,missing_share_date,"跨境ETF同时受境外市场规则、汇率和QDII额度影响；本报告不把境内政策背景视为海外指数催化。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","IMF预计2026年全球增长3.0%，但地区分化、冲突和金融市场重定价风险仍在；海外ETF需额外核对溢价与汇率。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20下方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-4.28%/-9.45%/+4.05%，RSI14=44.6，KDJ=空头，MACD=收敛。,情绪分数44.0（中性）；5/10/20日份额净流入为+0.05亿/+0.13亿/N/A(missing_share_date)，5日成交量相对前20日为0.52倍，代表池综合宽度40.3%，缺失分项：无。
观察,588170,科创半导体ETF华夏,震荡,-9.0909,-19.7482,-9.7345,38.9061,22.09,20.26,25.74,金叉,0.000651,0.045159,-0.089015,收敛,41.32,中性,,2026-07-21,-1953792000.00,,10207404000.00,,,missing_share_date,近90日未发现新增直接政策催化；4月公布的集成电路和软件企业税收优惠清单覆盖设计、制造、封测和关键材料设备，体现中长期政策连续性。 [国家发展改革委等部门｜2026-04-09｜关于做好2026年享受税收优惠政策的集成电路企业或项目、软件企业清单制定工作的通知](https://www.ndrc.gov.cn/xxgk/zcfb/tz/202604/t20260409_1404580.html),"AI驱动全球技术链需求，但行业景气和估值对资本开支、终端需求及外部限制高度敏感，需结合价格与份额流验证。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20下方、MA60上方，MA20未上行；5/10/20日涨跌幅分别为-9.09%/-19.75%/-9.73%，RSI14=38.9，KDJ=金叉，MACD=收敛。,情绪分数41.3（中性）；5/10/20日份额净流入为-19.54亿/+102.07亿/N/A(missing_share_date)，5日成交量相对前20日为2.41倍，代表池综合宽度40.3%，缺失分项：无。
观察,516950,基建ETF银华,震荡,0.6776,1.5625,0.0962,52.7607,68.60,51.90,102.01,多头,-0.009516,-0.013115,0.007198,收敛,33.76,偏冷,,2026-07-21,-2066000.00,,1028000.00,,,missing_share_date,近90日未发现新增全国性直接政策催化；年初住房城乡建设工作强调因城施策、去库存、保障交付和好房子建设，重心是稳定和转型。 [住房和城乡建设部｜2026-01-16｜住建部：2026年全国住房城乡建设着力抓好四个方面工作](https://www.dhms.gov.cn/stsx/Web/_F0_0_6GKSXVBA02A5928A8F0E406FA4.htm),上半年房地产开发投资下降18.0%，新建商品房销售面积下降11.6%、销售额下降13.6%，行业基本面仍偏弱。 [国家统计局｜2026-07-15｜2026年1—6月份全国房地产市场基本情况](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964126.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+0.68%/+1.56%/+0.10%，RSI14=52.8，KDJ=多头，MACD=收敛。,情绪分数33.8（偏冷）；5/10/20日份额净流入为-0.02亿/+0.01亿/N/A(missing_share_date)，5日成交量相对前20日为0.87倍，代表池综合宽度40.3%，缺失分项：无。
观察,159605,中概互联ETF广发,震荡,-1.8337,-0.8642,7.7852,63.4615,60.35,71.67,37.72,死叉,0.007906,0.000713,0.014385,零轴上多头,33.11,偏冷,,2026-07-21,-153011000.00,,-342246000.00,,,missing_share_date,六部门部署智能工厂梯度培育，政策支持人工智能与制造业融合和场景落地；执行节奏与商业化质量仍需验证。 [工业和信息化部等六部门｜2026-07-15｜关于开展2026年度智能工厂梯度培育行动的通知](https://www.ncsti.gov.cn/kjdt/tzgg/202607/t20260720_251553.html),上半年制造业增加值同比增长5.6%，为数字化和AI应用提供需求基础；ETF成份股估值与订单兑现差异较大。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为-1.83%/-0.86%/+7.79%，RSI14=63.5，KDJ=死叉，MACD=零轴上多头。,情绪分数33.1（偏冷）；5/10/20日份额净流入为-1.53亿/-3.42亿/N/A(missing_share_date)，5日成交量相对前20日为1.12倍，代表池综合宽度40.3%，缺失分项：无。
